architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,8,50,0.0036573194683296607,0.0041760618017067635,0.05302231036998529,0.02908528960417293,3.649850006149705e-42,5.1591838086928586e-42,1.6533697829775155e-21,9.571929622007196e-22,0.06455139975994825,0.03393934467847702,0.11624489486217499,0.06871617325546209,0.024454920589923858,0.012458155195024795,0.05295438233762979,0.03052973837519436
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,9,50,0.0018359083111863584,0.002501355138947665,0.03711779068248585,0.021405091124251843,2.1354667557538753e-42,2.866429865810594e-42,1.3183183857691105e-21,6.304786986861662e-22,0.04490182429552078,0.024446605720458887,0.07853117533028126,0.0510609233706314,0.0149210384208709,0.006109160240132422,0.04125325903296471,0.02020045627159352
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,10,50,0.0009559803432784975,0.0011671769671739271,0.027957393770049455,0.01320471419095837,1.267922876490381e-42,9.75181540356452e-43,1.0718132974275963e-21,3.4516536898675684e-22,0.035419797897338866,0.014704532433484949,0.05969080537557602,0.03115961780589222,0.012906391602009536,0.005899644849633897,0.033662194907665255,0.011149756327328737
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,11,1,0.0004381452454254031,0.0,0.020931919296266244,0.0,8.015427215937954e-43,0.0,8.952891832217093e-22,0.0,0.03083101660013199,0.0,0.05386245623230934,0.0,0.009156784974038601,0.0,0.029473813250660896,0.0
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,3,50,0.011897786088520662,0.007322829914237949,0.10083830602140444,0.04158632139603423,1.3038353535340973e-41,1.3506011835285916e-41,3.0043997737533747e-21,2.0029816611271412e-21,0.12241144724190235,0.05384937314918827,0.21350057162344455,0.0826556285623263,0.05442589385434985,0.05040093313116487,0.09930787544697522,0.06389744822639397
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,4,50,0.010585438861162401,0.006568764610559277,0.09595116048327261,0.037132380250606986,1.1441994324782142e-41,1.2339066845673124e-41,2.762855036680548e-21,1.9515702321646198e-21,0.1174618512019515,0.05013415619523994,0.21344310224056243,0.07907442993376214,0.04665168816223741,0.027709438588745004,0.09229076681658625,0.06601879626573032
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,5,50,0.006631545010604895,0.006439188870875973,0.07006593016851616,0.04150072818909945,7.203683041523874e-42,8.928763188291008e-42,2.116716839580666e-21,1.6502099449947308e-21,0.08520420674234629,0.049804391157073344,0.15643070228397846,0.09055924445050316,0.026875378135591745,0.0124776533777046,0.07230654302984477,0.05639266499145971
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,6,50,0.004848395647131838,0.005785690955202083,0.057829792706991824,0.038782866353561256,5.13371297599254e-42,7.936979411609746e-42,1.7432469596111424e-21,1.4473434332593794e-21,0.0715500558167696,0.046945374896931354,0.12953925412148237,0.0866628364988013,0.02507399957627058,0.01476732931879294,0.06003691613674164,0.05047993521235136
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,7,50,0.0037483340670587495,0.004944862054522113,0.05103651945510901,0.033817269980987955,3.749650482778919e-42,7.027759341272977e-42,1.5061821594511075e-21,1.2169904623003901e-21,0.06364729862660169,0.04123495338794281,0.114752761349082,0.07591174408179431,0.023739788066595793,0.01425968533037954,0.052449345476925376,0.04268118989058988
"30, 30, 30",41,166.09343600273132,2166,0.005585753303021193,8,50,0.0030468079858110286,0.0046204642081697665,0.044050124642996694,0.03326250899657878,2.944632540993598e-42,5.780639684446881e-42,1.3186993827220555e-21,1.0980275401837916e-21,0.05507077407091856,0.03927991991197012,0.0985156099498272,0.07568337807996818,0.021535907015204428,0.011457367055709305,0.04516080565750599,0.03984536868892255
